vol,abs
-0.024408,-39.440418
0.031196,-39.242645
0.086799,-39.137119
0.142402,-39.101803
0.198005,-39.040653
0.253609,-38.991455
0.309212,-39.043011
0.364815,-39.017597
0.420418,-38.999485
0.476022,-39.055737
0.531625,-39.093811
0.587228,-39.166382
0.642831,-39.218803
0.698435,-39.178185
0.754038,-39.121033
0.809641,-39.10535
0.865244,-39.174301
0.920848,-39.24699
0.976451,-39.261726
1.032054,-39.347195
1.087657,-39.302494
1.143261,-39.386024
1.198864,-39.336411
1.254467,-39.355865
1.31007,-39.342377
1.365674,-39.331863
1.421277,-39.311615
1.47688,-39.29023
1.532483,-39.287849
1.588087,-39.268509
1.64369,-39.123116
1.699293,-38.940994
1.754896,-38.53854
1.8105,-37.40551
1.866103,-34.005367
1.921706,-26.522705
1.977309,-14.81813
2.032913,-2.591274
2.088516,6.987074
2.144119,13.144522
2.199723,16.755604
2.255326,19.052273
2.310929,20.526253
2.366532,21.644417
2.422135,22.352743
2.477739,22.682327
2.533342,23.061872
2.588945,23.426914
2.644548,23.54381
2.700152,23.61998
2.755755,23.647638
2.811358,23.672924
2.866961,23.608892
2.922565,23.771936
2.978168,23.722916
3.033771,23.726175
3.089375,23.700777
3.144978,23.904261
3.200581,23.944448
3.256184,23.813705
3.311787,23.780699
3.367391,23.806524
3.422994,23.764723
3.478597,23.770866
3.5342,23.731451
3.589804,23.860889
3.645407,23.930164
3.70101,23.805935
3.756613,23.891861
3.812217,23.902218
3.86782,23.847477
3.923423,23.947903
3.979026,23.896236
4.03463,23.880003
4.090233,23.84063
4.145836,23.982853
4.201439,24.048401
4.257043,24.027739
4.312646,24.026623
4.368249,23.826138
4.423852,23.893887
4.479455,23.92284
4.535059,23.837313
4.590662,23.80574
4.646266,23.914049
4.701869,23.898787
4.757472,23.969324
4.813075,23.969957
4.868679,24.041714
4.924282,23.95015
4.979885,23.887838
5.035488,23.973274
5.091092,23.859104
5.146695,23.951178
5.202298,23.944057
5.257901,23.870378
5.313504,23.850681
5.369108,23.962856
5.424711,24.047897
5.480314,24.019426
5.535917,23.979151
5.591521,24.021189
5.647124,24.016087
5.702727,23.89039
5.75833,23.943264
5.813934,23.943811
5.869537,23.948271
5.92514,23.985176
5.980743,23.942915
6.036347,23.983212
6.09195,24.084578
6.147553,23.973433
6.203156,23.944872
6.258759,23.96386
6.314363,24.022533
6.369966,24.035856
6.42557,24.025349
6.481173,24.042782
6.536776,24.111687
6.592379,24.011208
6.647983,23.98423
6.703586,24.051277
6.759189,24.111439
6.814792,24.151196
6.870396,24.089239
6.925999,24.146875
6.981602,24.119877
7.037205,24.107712
7.092808,24.077484
7.148412,24.150984
7.204015,24.185595
7.259618,24.060078
7.315221,24.070229
7.370825,24.077892
7.426428,24.173328
7.482031,24.188383
7.537634,24.163702
7.593238,24.203276
7.648841,24.180319
7.704444,24.208363
7.760047,24.173325
7.81565,24.231323
7.871254,24.883434
7.926857,25.523314
7.98246,25.504541
8.038063,25.441996
8.093666,25.298775
8.149271,25.102285
8.204874,25.146803
8.260477,25.230452
8.31608,25.195063
8.371683,25.085569
8.427286,25.126225
8.482889,25.054611
8.538492,25.02326
8.594095,25.102234
8.6497,24.909567
8.705303,25.023836
8.760906,25.121593
8.816509,25.044727
8.872112,25.077383
8.927715,25.063402
8.983318,25.09211
9.038921,25.154203
9.094526,25.160404
9.150129,25.203066
9.205732,25.132267
9.261335,25.03969
9.316938,24.961288
9.372541,25.11849
9.428144,25.086412
9.483747,25.006823
9.539351,25.06798
9.594955,25.042175
9.650558,24.947676
9.706161,24.983503
9.761765,25.006393
9.817368,25.017467
9.872971,25.021011
9.928574,25.047096
9.984177,25.142662
10.039782,25.001398
10.095385,24.987427
10.150988,24.969807
10.206591,25.024454
10.262194,24.920803
10.317797,24.72681
10.3734,24.844336
10.429003,24.905153
10.484606,24.933577
10.540211,24.920029
10.595814,25.048508
10.651417,25.042149
10.70702,24.862324
10.762623,24.931662
10.818226,24.901892
10.873829,24.854061
10.929432,24.806156
10.985037,24.943945
11.04064,24.989685
11.096243,24.986362
11.151846,24.944214
11.207449,24.984606
11.263052,25.044334
11.318655,24.998924
11.374258,25.037884
11.429861,25.030645
11.485466,24.923586
11.541069,24.932554
11.596672,25.038494
11.652275,24.953018
11.707878,25.042297
11.763481,25.061327
11.819084,25.007944
11.874687,24.995266
11.93029,25.065342
11.985895,25.013628
12.041498,24.969847
12.097101,24.971506
12.152704,25.021301
12.208307,25.165773
12.26391,25.102262
12.319513,25.120756
12.375116,25.117546
12.430721,25.130466
12.486324,25.199549
12.541927,25.210331
12.59753,25.166424
12.653133,25.035612
12.708736,25.046534
12.764339,25.131201
12.819942,25.060377
12.875546,25.028645
12.93115,25.196508
12.986753,25.184017
13.042356,25.10544
13.09796,25.129711
13.153563,25.131956
13.209166,25.071695
13.264769,25.110619
13.320372,25.029093
13.375977,24.964624
13.43158,25.167776
13.487183,25.225527
13.542786,25.129747
13.598389,25.1457
13.653992,25.132191
13.709595,25.098289
13.765198,25.050499
13.820801,25.180996
13.876406,25.162407
13.932009,25.185125
13.987612,25.103146
14.043215,25.188314
14.098818,25.135777
14.154421,25.202408
14.210024,25.158421
14.265627,25.042334
14.321232,25.1008
14.376835,25.158863
14.432438,25.166969
14.488041,25.109154
14.543644,25.26265
14.599247,25.187876
14.65485,25.248154
14.710453,25.274014
14.766056,25.246662
14.821661,25.121149
14.877264,25.044573
14.932867,25.099308
14.98847,25.114901
15.044073,25.324795
15.099676,25.307024
15.155279,25.245445
15.210882,25.230417
15.266485,25.171246
15.32209,25.27014
15.377693,25.304628
15.433296,25.256479
15.488899,25.273737
15.544502,25.188765
15.600105,25.325674
15.655708,25.526505
15.711311,25.435116
15.766916,25.248308
15.822519,25.239719
15.878122,25.399769
15.933725,25.444241
15.989328,25.481213
16.044931,25.412474
16.100534,25.592587
16.156139,25.442247
16.211742,25.385227
16.267345,25.321579
16.322948,25.520039
16.378551,25.586473
16.434155,25.52479
16.489758,25.53668
16.545361,25.572277
16.600965,25.596827
16.656569,25.604757
16.712172,25.657703
16.767775,25.593433
16.823378,25.56728
16.878981,25.537136
16.934584,25.7202
16.990187,25.560236
17.04579,25.488541
17.101395,25.589605
17.156998,25.658556
17.212601,25.609461
17.268204,25.51376
17.323807,25.506117
17.37941,25.730396
17.435013,25.748653
17.490616,25.571976
17.546221,25.580328
17.601824,25.501825
17.657427,25.475908
