vol,abs
ml,mAU
0.723456,-39.134785
0.726236,-39.133827
0.729016,-39.133945
0.731797,-39.135506
0.734577,-39.138058
0.737357,-39.138412
0.740137,-39.135551
0.742917,-39.132412
0.745697,-39.128716
0.748478,-39.12524
0.751258,-39.122841
0.754038,-39.121033
0.756818,-39.11882
0.759598,-39.115376
0.762378,-39.112457
0.765159,-39.110767
0.767939,-39.109409
0.770719,-39.109505
0.773499,-39.110977
0.776279,-39.111351
0.779059,-39.11068
0.78184,-39.109715
0.78462,-39.108047
0.7874,-39.106476
0.79018,-39.105461
0.79296,-39.104664
0.79574,-39.104549
0.798521,-39.10519
0.801301,-39.106041
0.804081,-39.106934
0.806861,-39.107147
0.809641,-39.10535
0.812421,-39.102631
0.815202,-39.100323
0.817982,-39.098072
0.820762,-39.098553
0.823542,-39.102535
0.826322,-39.107887
0.829102,-39.115044
0.831882,-39.121838
0.834663,-39.127476
0.837443,-39.132462
0.840223,-39.137257
0.843003,-39.141865
0.845783,-39.145569
0.848563,-39.147984
0.851344,-39.151119
0.854124,-39.154797
0.856904,-39.158981
0.859684,-39.164196
0.862464,-39.170036
0.865244,-39.174301
0.868025,-39.178349
0.870805,-39.18195
0.873585,-39.185421
0.876365,-39.189869
0.879145,-39.195843
0.881925,-39.201839
0.884706,-39.207733
0.887486,-39.212982
0.890266,-39.217335
0.893046,-39.220997
0.895826,-39.224545
0.898606,-39.22765
0.901387,-39.231243
0.904167,-39.235149
0.906947,-39.238762
0.909727,-39.241253
0.912507,-39.242077
0.915287,-39.243618
0.918068,-39.245235
0.920848,-39.24699
0.923628,-39.248566
0.926408,-39.249275
0.929188,-39.248711
0.931968,-39.248146
0.934749,-39.246658
0.937529,-39.244667
0.940309,-39.242538
0.943089,-39.240444
0.945869,-39.238747
0.948649,-39.238705
0.951429,-39.240791
0.95421,-39.24408
0.95699,-39.247356
0.95977,-39.249531
0.96255,-39.250229
0.96533,-39.251427
0.96811,-39.252674
0.970891,-39.254543
0.973671,-39.257523
0.976451,-39.261726
0.979231,-39.266781
0.982011,-39.271832
0.984791,-39.276299
0.987572,-39.280701
0.990352,-39.285355
0.993132,-39.290226
0.995912,-39.29496
0.998692,-39.298958
1.001472,-39.302052
1.004253,-39.304424
1.007033,-39.306835
1.009813,-39.310165
1.012593,-39.314796
1.015373,-39.320061
1.018153,-39.325417
1.020934,-39.330818
1.023714,-39.336098
1.026494,-39.340836
1.029274,-39.344017
1.032054,-39.347195
1.034834,-39.34832
1.037614,-39.347256
1.040395,-39.34433
1.043175,-39.340229
1.045955,-39.336109
1.048735,-39.331459
1.051515,-39.326962
1.054296,-39.322552
1.057076,-39.317932
1.059856,-39.312794
1.062636,-39.307144
1.065416,-39.305241
1.068196,-39.303562
1.070976,-39.301651
1.073757,-39.299625
1.076537,-39.298096
1.079317,-39.298496
1.082097,-39.298893
1.084877,-39.300171
1.087657,-39.302494
1.090438,-39.306072
1.093218,-39.310783
1.095998,-39.315491
1.098778,-39.319523
1.101558,-39.322777
1.104338,-39.325359
1.107119,-39.327789
1.109899,-39.330826
1.112679,-39.335358
1.115459,-39.34021
1.118239,-39.34528
1.121019,-39.351444
1.1238,-39.359055
1.12658,-39.366714
1.12936,-39.369267
1.13214,-39.37114
1.13492,-39.372818
1.1377,-39.374737
1.140481,-39.378834
1.143261,-39.386024
1.146041,-39.393028
1.148821,-39.395973
1.151601,-39.397408
1.154381,-39.395878
1.157161,-39.392365
1.159942,-39.38805
1.162722,-39.381924
1.165502,-39.378384
1.168282,-39.377403
1.171062,-39.376686
1.173842,-39.375027
1.176623,-39.371967
1.179403,-39.367599
1.182183,-39.362377
1.184963,-39.357883
1.187743,-39.354031
1.190523,-39.350155
1.193304,-39.345776
1.196084,-39.341309
1.198864,-39.336411
1.201644,-39.331825
1.204424,-39.329239
1.207204,-39.327892
1.209985,-39.327888
1.212765,-39.33276
1.215545,-39.338352
1.218325,-39.344078
1.221105,-39.349419
1.223885,-39.352497
1.226665,-39.352303
1.229446,-39.350956
1.232226,-39.347881
1.235006,-39.346313
1.237786,-39.347767
1.240566,-39.351112
1.243347,-39.354847
1.246127,-39.35881
1.248907,-39.360237
1.251687,-39.359051
1.254467,-39.355865
1.257247,-39.351582
1.260028,-39.347351
1.262808,-39.344387
1.265588,-39.342262
1.268368,-39.344181
1.271148,-39.347042
1.273928,-39.350334
1.276708,-39.353947
1.279489,-39.357143
1.282269,-39.357037
1.285049,-39.356464
1.287829,-39.353802
1.290609,-39.350677
1.293389,-39.34898
1.29617,-39.348854
1.29895,-39.348679
1.30173,-39.348366
1.30451,-39.347458
1.30729,-39.345314
1.31007,-39.342377
1.312851,-39.340599
1.315631,-39.340488
1.318411,-39.339851
1.321191,-39.338905
1.323971,-39.337597
1.326751,-39.335907
1.329532,-39.334034
1.332312,-39.33334
1.335092,-39.332909
1.337872,-39.334015
1.340652,-39.33617
1.343432,-39.338524
1.346213,-39.340603
1.348993,-39.342682
1.351773,-39.340618
1.354553,-39.337738
1.357333,-39.334908
1.360113,-39.332386
1.362893,-39.330555
1.365674,-39.331863
1.368454,-39.332886
1.371234,-39.33334
1.374014,-39.332733
1.376794,-39.330681
1.379575,-39.327011
1.382355,-39.321682
1.385135,-39.315159
1.387915,-39.30904
1.390695,-39.304184
1.393475,-39.301342
1.396255,-39.301029
1.399036,-39.30127
1.401816,-39.302048
1.404596,-39.303371
1.407376,-39.305893
1.410156,-39.309464
1.412936,-39.312927
1.415717,-39.315231
1.418497,-39.314625
1.421277,-39.311615
1.424057,-39.30772
1.426837,-39.303955
1.429617,-39.300659
1.432398,-39.299191
1.435178,-39.298355
1.437958,-39.297539
1.440738,-39.296574
1.443518,-39.294834
1.446298,-39.291553
1.449079,-39.288265
1.451859,-39.285278
1.454639,-39.282818
1.457419,-39.280487
1.460199,-39.278072
1.462979,-39.27586
1.46576,-39.275372
1.46854,-39.27808
1.47132,-39.282188
1.4741,-39.286739
1.47688,-39.29023
1.47966,-39.291203
1.48244,-39.290756
1.485221,-39.290005
1.488001,-39.288986
1.490781,-39.28685
1.493561,-39.283745
1.496341,-39.280746
1.499121,-39.277752
1.501902,-39.27742
1.504682,-39.279255
1.507462,-39.28051
1.510242,-39.280464
1.513022,-39.28019
1.515803,-39.278099
1.518583,-39.276909
1.521363,-39.27758
1.524143,-39.278946
1.526923,-39.281021
1.529703,-39.284538
1.532483,-39.287849
1.535264,-39.291073
1.538044,-39.294334
1.540824,-39.297688
1.543604,-39.30114
1.546384,-39.304665
1.549164,-39.308231
1.551945,-39.309711
1.554725,-39.309196
1.557505,-39.306389
1.560285,-39.302147
1.563065,-39.298038
1.565845,-39.294796
1.568626,-39.292351
1.571406,-39.290543
1.574186,-39.288937
1.576966,-39.287273
1.579746,-39.285091
1.582526,-39.280487
1.585307,-39.274422
1.588087,-39.268509
1.590867,-39.264149
1.593647,-39.260582
1.596427,-39.256268
1.599207,-39.251759
1.601987,-39.245636
1.604768,-39.23777
1.607548,-39.232037
1.610328,-39.228607
1.613108,-39.225212
1.615888,-39.222023
1.618668,-39.217693
1.621449,-39.209385
1.624229,-39.199795
1.627009,-39.190178
1.629789,-39.180271
1.632569,-39.169132
1.635349,-39.155476
1.63813,-39.142502
1.64091,-39.131489
1.64369,-39.123116
1.64647,-39.117416
1.64925,-39.113705
1.65203,-39.10955
1.654811,-39.104736
1.657591,-39.097176
1.660371,-39.087334
1.663151,-39.077446
1.665931,-39.06992
1.668711,-39.063709
1.671492,-39.054977
1.674272,-39.045479
1.677052,-39.036411
1.679832,-39.02808
1.682612,-39.019878
1.685392,-39.01133
1.688173,-39.002571
1.690953,-38.990803
1.693733,-38.976059
1.696513,-38.959465
1.699293,-38.940994
1.702073,-38.923813
1.704854,-38.91098
1.707634,-38.89724
1.710414,-38.881481
1.713194,-38.865116
1.715974,-38.849892
1.718754,-38.837276
1.721534,-38.823856
1.724315,-38.810207
1.727095,-38.795177
1.729875,-38.777382
1.732655,-38.757114
1.735435,-38.731647
1.738215,-38.7061
1.740996,-38.683289
1.743776,-38.661041
1.746556,-38.63504
1.749336,-38.601883
1.752116,-38.568829
1.754896,-38.53854
1.757677,-38.507534
1.760457,-38.474102
1.763237,-38.438251
1.766017,-38.40247
1.768797,-38.367065
1.771577,-38.323105
1.774358,-38.274933
1.777138,-38.226326
1.779918,-38.179554
1.782698,-38.134399
1.785478,-38.076653
1.788258,-38.017063
1.791039,-37.959087
1.793819,-37.901733
1.796599,-37.837837
1.799379,-37.7542
1.802159,-37.670673
1.804939,-37.587959
1.807719,-37.50259
1.8105,-37.40551
1.81328,-37.295017
1.81606,-37.183388
1.81884,-37.076916
1.82162,-36.959618
1.824401,-36.829597
1.827181,-36.694809
1.829961,-36.564342
1.832741,-36.44009
1.835521,-36.276199
1.838301,-36.103958
1.841082,-35.931931
1.843862,-35.762466
1.846642,-35.58453
1.849422,-35.373699
1.852202,-35.162643
1.854982,-34.960621
1.857762,-34.752384
1.860543,-34.518547
1.863323,-34.25993
1.866103,-34.005367
1.868883,-33.758297
1.871663,-33.486965
1.874443,-33.187088
1.877224,-32.874615
1.880004,-32.569485
1.882784,-32.281437
1.885564,-31.941465
1.888344,-31.577154
1.891124,-31.211439
1.893905,-30.858891
1.896685,-30.502409
1.899465,-30.093472
1.902245,-29.673635
1.905025,-29.264874
1.907805,-28.858662
1.910586,-28.413189
1.913366,-27.922529
1.916146,-27.435251
1.918926,-26.993973
1.921706,-26.522705
1.924486,-26.010128
1.927267,-25.478111
1.930047,-24.956879
1.932827,-24.463758
1.935607,-23.916197
1.938387,-23.334044
1.941167,-22.756577
1.943948,-22.206654
1.946728,-21.660456
1.949508,-21.053677
1.952288,-20.423447
1.955068,-19.820105
1.957848,-19.246574
1.960629,-18.63846
1.963409,-17.979734
1.966189,-17.325405
1.968969,-16.721819
1.971749,-16.132092
1.974529,-15.488824
1.977309,-14.81813
1.98009,-14.166683
1.98287,-13.563875
1.98565,-12.934244
1.98843,-12.270863
1.99121,-11.612679
1.99399,-11.000722
1.996771,-10.416864
1.999551,-9.790432
2.002331,-9.131753
2.005111,-8.505253
2.007891,-7.921209
2.010671,-7.326622
2.013452,-6.699325
2.016232,-6.065722
2.019012,-5.485562
2.021792,-4.940189
2.024572,-4.349762
2.027352,-3.733301
2.030133,-3.133407
2.032913,-2.591274
2.035693,-2.062852
2.038473,-1.493908
2.041253,-0.920003
2.044033,-0.394311
2.046813,0.091999
2.049594,0.602331
2.052374,1.1424
2.055154,1.658906
2.057934,2.123709
2.060714,2.586153
2.063494,3.073556
2.066275,3.573951
2.069055,4.038817
2.071835,4.466477
2.074615,4.913815
2.077395,5.367568
2.080175,5.80556
2.082956,6.208692
2.085736,6.581098
2.088516,6.987074
2.091296,7.397206
2.094076,7.778645
2.096856,8.127538
2.099637,8.469735
2.102417,8.849964
2.105197,9.230344
2.107977,9.551989
2.110757,9.852755
2.113537,10.162778
2.116318,10.487504
2.119098,10.802612
2.121878,11.075148
2.124658,11.351039
2.127438,11.635983
2.130218,11.913865
2.132998,12.164735
2.135779,12.392741
2.138559,12.642752
2.141339,12.902108
2.144119,13.144522
2.146899,13.36182
2.149679,13.566371
2.15246,13.789253
2.15524,14.015465
2.15802,14.218837
2.1608,14.411733
2.16358,14.604071
2.16636,14.79917
2.169141,14.993262
2.171921,15.150983
2.174701,15.311741
2.177481,15.486636
